2022-07-29 21:19:55,578 - __main__ - ERROR - Could not find library in database! file_path: /root/yanhui/libraries/contentdock-sdk-ios-universal_1.5.0
2022-07-29 21:23:44,014 - __main__ - INFO - processing library: ReSwift, version: 4.1.1
2022-07-29 21:23:44,021 - __main__ - INFO - processing library: PodTestLib, version: 0.0.2
2022-07-29 21:23:44,025 - __main__ - INFO - processing library: GRDB.swift, version: 4.14.0
2022-07-29 21:23:44,059 - __main__ - INFO - processing library: CBHPreferencesManager, version: 1.0.0
2022-07-29 21:23:44,065 - __main__ - INFO - processing library: lottie-ios, version: 3.1.0
2022-07-29 21:23:44,079 - __main__ - INFO - processing library: StreamingKit, version: 0.1.21
2022-07-29 21:23:44,089 - __main__ - INFO - processing library: TLYShyNavBar, version: 0.10.1
2022-07-29 21:23:44,102 - __main__ - INFO - processing library: ExtendedAlertController, version: 0.0.2
2022-07-29 21:23:44,110 - __main__ - INFO - processing library: CTMediator, version: 35
2022-07-29 21:23:44,118 - __main__ - INFO - processing library: Material, version: 2.3.20
2022-07-29 21:23:44,135 - __main__ - INFO - processing library: nanopb, version: 0.3.904
2022-07-29 21:23:44,174 - __main__ - INFO - processing library: KSAlertView, version: 1.0.3
2022-07-29 21:23:44,181 - __main__ - INFO - processing library: WisdomHome, version: 0.0.1
2022-07-29 21:23:44,187 - __main__ - INFO - processing library: SwiftLibAkshay, version: 0.0.1
2022-07-29 21:23:44,193 - __main__ - INFO - processing library: TABAnimated, version: 2.4.6
2022-07-29 21:23:44,214 - __main__ - INFO - processing library: RealReachability, version: 1.1.1
2022-07-29 21:23:44,226 - __main__ - INFO - processing library: DTCoreText, version: 1.6.17
2022-07-29 21:23:44,230 - __main__ - INFO - processing library: Mantle, version: 1.5.5
2022-07-29 21:23:44,241 - __main__ - INFO - processing library: CTAssetsPickerController, version: 2.8.0
2022-07-29 21:23:44,246 - __main__ - INFO - processing library: GBKDevInfoMode, version: 0.7
2022-07-29 21:23:44,257 - __main__ - INFO - processing library: KMCategories, version: 0.1.0
2022-07-29 21:23:44,267 - __main__ - INFO - processing library: FolioReaderKit, version: 0.8.5
2022-07-29 21:23:44,276 - __main__ - INFO - processing library: JTAppleCalendar, version: 6.1.2
2022-07-29 21:23:44,281 - __main__ - INFO - processing library: ImagePicker, version: 1.2
2022-07-29 21:23:44,293 - __main__ - INFO - processing library: KIF, version: 3.0.8
2022-07-29 21:23:44,301 - __main__ - INFO - processing library: HLWWebViewProgressVC, version: 0.0.1
2022-07-29 21:23:44,312 - __main__ - INFO - processing library: LayoutUI, version: 0.0.2
2022-07-29 21:23:44,323 - __main__ - INFO - processing library: JavaScriptTalkNatvieEasy, version: 1.0.0
2022-07-29 21:23:44,329 - __main__ - INFO - processing library: TZImagePickerController, version: 3.2.5
2022-07-29 21:23:44,338 - __main__ - INFO - processing library: HiliteUI, version: 0.1.7-alpha
2022-07-29 21:23:44,347 - __main__ - INFO - processing library: PromiseKit, version: 0.9.4
2022-07-29 21:23:44,357 - __main__ - INFO - processing library: BrokerStructuralProductsModule, version: 2.1.0
2022-07-29 21:23:44,359 - __main__ - INFO - processing library: SideMenu, version: 2.0.6
2022-07-29 21:23:44,370 - __main__ - INFO - processing library: SafeBrowsing, version: 0.1.1
2022-07-29 21:23:44,376 - __main__ - INFO - processing library: GRDB.swift, version: 0.108.0
2022-07-29 21:23:44,388 - __main__ - INFO - processing library: YPImagePicker, version: 3.4.1
2022-07-29 21:23:44,403 - __main__ - INFO - processing library: LBAnnularPieView, version: 1.0.0
2022-07-29 21:23:44,411 - __main__ - INFO - processing library: REFrostedViewController, version: 2.3
2022-07-29 21:23:44,425 - __main__ - INFO - processing library: XHLaunchAd, version: 3.4.3
2022-07-29 21:23:44,433 - __main__ - INFO - processing library: HJLayout, version: 0.1.1
2022-07-29 21:23:44,444 - __main__ - INFO - processing library: Nimble, version: 3.1.0
2022-07-29 21:23:44,449 - __main__ - INFO - processing library: AudioPlayerManager, version: 1.1.1
2022-07-29 21:23:44,465 - __main__ - INFO - processing library: SimpleTwitterAuthentication, version: 1.0.0
2022-07-29 21:23:44,476 - __main__ - INFO - processing library: SKPhotoBrowser, version: 4.1.0
2022-07-29 21:23:44,486 - __main__ - INFO - processing library: SwiftDate, version: 6.0.1
2022-07-29 21:23:44,491 - __main__ - INFO - processing library: ActionSheetPicker-3.0, version: 1.0.5
2022-07-29 21:23:44,500 - __main__ - INFO - processing library: SwiftEntryKit, version: 0.2.3
2022-07-29 21:23:44,513 - __main__ - INFO - processing library: SKPhotoBrowser, version: 1.7.4
2022-07-29 21:23:44,525 - __main__ - INFO - processing library: YMSwipeTableViewCell, version: 1.1.1
2022-07-29 21:23:44,536 - __main__ - INFO - processing library: LIYDateTimePicker, version: 0.1.7
2022-07-29 21:23:44,543 - __main__ - INFO - processing library: SobrKit, version: 0.1.1
2022-07-29 21:23:44,548 - __main__ - INFO - processing library: CryptoSwift, version: 1.4.0
2022-07-29 21:23:44,553 - __main__ - INFO - processing library: ImageSlideshow, version: 1.3.1
2022-07-29 21:23:44,579 - __main__ - INFO - processing library: FLBezierPath, version: 1.0.0
2022-07-29 21:23:44,586 - __main__ - INFO - processing library: ZLPhotoBrowser, version: 4.0.9
2022-07-29 21:23:44,594 - __main__ - INFO - processing library: SCLAlertView, version: 0.5.1
2022-07-29 21:23:44,602 - __main__ - INFO - processing library: loudspeaker, version: 1.0.0
2022-07-29 21:23:44,613 - __main__ - INFO - processing library: KYArcTab, version: 1.0.0
2022-07-29 21:23:44,622 - __main__ - INFO - processing library: SwiftMessages, version: 3.3.3
2022-07-29 21:23:44,629 - __main__ - INFO - processing library: UFWTestSDK, version: 0.1.1
2022-07-29 21:23:44,636 - __main__ - INFO - processing library: SlackTextViewController, version: 1.2.3
2022-07-29 21:23:44,646 - __main__ - INFO - processing library: TTTAttributedLabel, version: 1.6.1
2022-07-29 21:23:44,652 - __main__ - INFO - processing library: Alamofire, version: 5.4.3
2022-07-29 21:23:44,663 - __main__ - INFO - processing library: IQKeyboardManager, version: 2.5.0
2022-07-29 21:23:44,670 - __main__ - INFO - processing library: compoment, version: 1.0.0
2022-07-29 21:23:44,676 - __main__ - INFO - processing library: SideMenu, version: 2.0.7
2022-07-29 21:23:44,687 - __main__ - INFO - processing library: ActionSheetPicker-3.0, version: 1.0.13
2022-07-29 21:23:44,697 - __main__ - INFO - processing library: KMNavigationBarTransition, version: 0.0.3
2022-07-29 21:23:44,705 - __main__ - INFO - processing library: XHLaunchAd, version: 2.1.5
2022-07-29 21:23:44,718 - __main__ - INFO - processing library: DKNightVersion, version: 0.5.0
2022-07-29 21:23:44,738 - __main__ - INFO - processing library: PYSearch, version: 0.3.3
2022-07-29 21:23:44,748 - __main__ - INFO - processing library: HandyJSON, version: 5.0.2-beta
2022-07-29 21:23:44,758 - __main__ - INFO - processing library: TimeZoneLocate, version: 0.4.1
2022-07-29 21:23:44,766 - __main__ - INFO - processing library: LolayFundamenta, version: 4.2.0
2022-07-29 21:23:44,774 - __main__ - INFO - processing library: CRToast, version: 0.0.2
2022-07-29 21:23:44,781 - __main__ - INFO - processing library: YYModel, version: 0.9.11
2022-07-29 21:23:44,788 - __main__ - INFO - processing library: FSPagerView, version: 0.1.0
2022-07-29 21:23:44,801 - __main__ - INFO - processing library: XCDYouTubeKit, version: 2.8.3
2022-07-29 21:23:44,817 - __main__ - INFO - processing library: Material, version: 1.35.3
2022-07-29 21:23:44,854 - __main__ - INFO - processing library: TABAnimated, version: 2.3.0
2022-07-29 21:23:44,870 - __main__ - INFO - processing library: VCUIKit, version: 0.5.9
2022-07-29 21:23:44,877 - __main__ - INFO - processing library: PermissionScope, version: 1.0.3
2022-07-29 21:23:44,885 - __main__ - INFO - processing library: cmark, version: 0.24.0
2022-07-29 21:23:44,890 - __main__ - INFO - processing library: PYSearch, version: 0.5.1
2022-07-29 21:23:44,901 - __main__ - INFO - processing library: PhoneNumberKit, version: 3.3.3
2022-07-29 21:23:44,916 - __main__ - INFO - processing library: OAuthSwift, version: 2.0.0
2022-07-29 21:23:44,922 - __main__ - INFO - processing library: AKRealmUtils, version: 1.0.0
2022-07-29 21:23:44,929 - __main__ - INFO - processing library: SwiftyJSONRealmObject, version: 1.0.0
2022-07-29 21:23:44,939 - __main__ - INFO - processing library: SCRecorder, version: 2.0.10
2022-07-29 21:23:44,947 - __main__ - INFO - processing library: lottie-ios, version: 3.0.2
2022-07-29 21:23:44,960 - __main__ - INFO - processing library: walletcoreios, version: 0.0.1
2022-07-29 21:23:44,972 - __main__ - INFO - processing library: PromiseKit, version: 6.3.5
2022-07-29 21:23:46,913 - __main__ - INFO - processing library: Masonry, version: 0.4.0
2022-07-29 21:23:46,919 - __main__ - INFO - processing library: VKAlertController, version: 1.0.0
2022-07-29 21:23:46,923 - __main__ - INFO - processing library: WZZKit, version: 1.1.0
2022-07-29 21:23:46,928 - __main__ - INFO - processing library: YoukeSDK, version: 1.0.0
2022-07-29 21:23:46,940 - __main__ - INFO - processing library: YYImage, version: 0.9.1
2022-07-29 21:23:46,944 - __main__ - INFO - processing library: SkeletonView, version: 1.23.0
2022-07-29 21:23:46,949 - __main__ - INFO - processing library: MWPhotoBrowser, version: 2.1.0
2022-07-29 21:23:46,957 - __main__ - INFO - processing library: AlamofireImage, version: 1.1.1
2022-07-29 21:23:46,960 - __main__ - INFO - processing library: TextFieldEffects, version: 1.3.3
2022-07-29 21:23:46,966 - __main__ - INFO - processing library: RSKImageCropper, version: 0.4.1
2022-07-29 21:23:46,972 - __main__ - INFO - processing library: SKPhotoBrowser, version: 1.6.6
2022-07-29 21:23:46,978 - __main__ - INFO - processing library: RMErrors, version: 1.0.0
2022-07-29 21:23:46,984 - __main__ - INFO - processing library: KVConstraintKit, version: 1.0.0
2022-07-29 21:23:46,988 - __main__ - INFO - processing library: VCInstantiable, version: 0.0.4
2022-07-29 21:23:46,991 - __main__ - INFO - processing library: CYLTabBarController, version: 1.5.4
2022-07-29 21:23:46,997 - __main__ - INFO - processing library: cordova-plugin-statusbar, version: 2.1.1
2022-07-29 21:23:47,006 - __main__ - INFO - processing library: PopupDialog, version: 0.2.2
2022-07-29 21:23:47,011 - __main__ - INFO - processing library: CVMathToolsLib, version: 0.2.0
2022-07-29 21:23:47,016 - __main__ - INFO - processing library: ObjectMapper, version: 0.10
2022-07-29 21:23:47,023 - __main__ - INFO - processing library: TZImagePickerController, version: 3.6.3
2022-07-29 21:23:47,031 - __main__ - INFO - processing library: LLSegmentViewController, version: 1.1.1
2022-07-29 21:23:47,039 - __main__ - INFO - processing library: WMPageController, version: 1.4.7
2022-07-29 21:23:47,047 - __main__ - INFO - processing library: RxPermission, version: 1.0.0
2022-07-29 21:23:47,055 - __main__ - INFO - processing library: FrameToolkit, version: 0.0.2
2022-07-29 21:23:47,063 - __main__ - INFO - processing library: SKPhotoBrowser, version: 1.4.5
2022-07-29 21:23:47,072 - __main__ - INFO - processing library: SkyFloatingLabelTextField, version: 1.1.1
2022-07-29 21:23:47,077 - __main__ - INFO - processing library: JDAvatarProgress, version: 1.0.3
2022-07-29 21:23:47,087 - __main__ - INFO - processing library: PhoneNumberKit, version: 1.2.1
2022-07-29 21:23:47,099 - __main__ - INFO - processing library: SDWebImage, version: 3.3
2022-07-29 21:23:47,111 - __main__ - INFO - processing library: MessageDisplayKit, version: 0.1.4
2022-07-29 21:23:47,130 - __main__ - INFO - processing library: Eventful, version: 0.0.2
2022-07-29 21:23:47,134 - __main__ - INFO - processing library: ESTabBarController, version: 0.1.1
2022-07-29 21:23:47,139 - __main__ - INFO - processing library: RESideMenu, version: 3.1.6
2022-07-29 21:23:47,152 - __main__ - INFO - processing library: JLRoutes, version: 2.0.4
2022-07-29 21:23:47,159 - __main__ - INFO - processing library: EChart, version: 0.1.1
2022-07-29 21:23:47,168 - __main__ - INFO - processing library: JVFloatLabeledTextField, version: 1.0.3
2022-07-29 21:23:47,173 - __main__ - INFO - processing library: IPDataDotCo, version: 1.0.0
2022-07-29 21:23:47,177 - __main__ - INFO - processing library: FlatUIKit, version: 1.3
2022-07-29 21:23:47,181 - __main__ - INFO - processing library: baiduMap, version: 2.8.1
2022-07-29 21:23:47,184 - __main__ - INFO - processing library: MJExtension, version: 2.0.0
2022-07-29 21:23:47,192 - __main__ - INFO - processing library: LeeWkWebView, version: 0.0.1
2022-07-29 21:23:47,197 - __main__ - INFO - processing library: PKHUD, version: 3.0.1
2022-07-29 21:23:47,206 - __main__ - INFO - processing library: PSXLSReader, version: 0.1.1
2022-07-29 21:23:47,210 - __main__ - INFO - processing library: XHLaunchAd, version: 3.9.8
2022-07-29 21:23:47,215 - __main__ - INFO - processing library: PromiseKit, version: 1.4.3
2022-07-29 21:23:47,271 - __main__ - INFO - processing library: TagListView, version: 1.3.2
2022-07-29 21:23:47,277 - __main__ - INFO - processing library: Material, version: 1.31.5
2022-07-29 21:23:47,297 - __main__ - INFO - processing library: RxMapKit, version: 1.0.0
